,Nome,Precos
89,Cerveja BLONDINE Witbier Garrafa 500ml,0.0
90,Cerveja Indiana Clara White Ale THREE MONKEYS 500ml,0.0
91,Cerveja INVICTA Saison ï¿½ Trois Garrafa 500ml,0.0
92,Cerveja BLONDINE Pivo Czech Bohemian Pilsen 500ml,0.0
93,Cerveja Kï¿½lsch Ginjo Puro Malte Prius Prime Garrafa 600ml,0.0
94,Cerveja LEUVEN Belgian Ipa DRAGON Garrafa 500ml,0.0
95,Cerveja Belgian Ale Delirium Tremens Garrafa 330ml,0.0
96,Cerveja Americana Ipa DAMA Bier Garrafa 600ml,0.0
97,Cerveja LEUVEN Witbier WITCH Garrafa 500ml,0.0
98,Cerveja DOM CASMURRO Ipa Garrafa 600ml,0.0
99,Cerveja Summit APA Tupiniquim Garrafa 350ml,0.0
100,Cerveja THREE MONKEYS Cool Lager 500ml,0.0
101,Cerveja Blondine Jackpot 777 Helles Garrafa 500ml,0.0
102,Cerveja American Pale Ale Prime Bier Garrafa 600ml,0.0
103,Cerveja Urbana Gordelï¿½cia Belgian Golden Strong Ale Garrafa 500ml,0.0
104,Cerveja LEUVEN Weissbier ARCHER Garrafa 500ml,0.0
105,Cerveja AVï¿½S Vï¿½ Francisca Dark Lager Lata 473ml,0.0
106,Cerveja Red Lager Puro Malte Back to the Red Black Princess Garrafa 600ml,0.0
107,Cerveja Bier DAMA Weissbier Garrafa 600ml,0.0
108,Cerveja AVï¿½S Vï¿½ Terezinha German Pils Lata 473ml,0.0
109,Cerveja Praya Witbier Lata 269ml,0.0
110,Cerveja ST. BERNARDUS PRIOR 8 Garrafa 330ml,0.0
111,Cerveja Craft Lager Maniacs Garrafa 355ml,0.0
112,"[""Cerveja English IPA Puro Malte Let's Hop Black Princess Garrafa 600ml""]",0.0
113,Cerveja AVï¿½S Vï¿½ Antï¿½nia India Pale Lager Lata 473ml,0.0
114,Cerveja Kristall Weizen Doctor Weiss Black Princess Garrafa 600ml,0.0
115,Cerveja AVï¿½S Vï¿½ Maria Hoppy Pils Lata 473ml,0.0
116,Cerveja Malzbier Itaipava Lata 350ml,0.0
117,Cerveja 2 Cabeï¿½as Apfelstrudel 473ml,0.0
118,Cerveja Lager Premium Petra Garrafa 355ml,0.0
119,Cerveja 2 Cabeï¿½as ZEZINHO 500ml,0.0
120,Cerveja 2 Cabeï¿½as Batida de Maracujï¿½ 473ml,0.0
121,Cerveja WESTMALLE Tripel - 330ml,0.0
122,Cerveja Patagonia Weisse 355ml,0.0
123,Cerveja 2 Cabeï¿½as Seu Zï¿½ 500ml\t,0.0
124,Cerveja Red Vintage ESTRELLA GALICIA 1906 Garrafa 330ml,0.0
125,Cerveja 2 Cabeï¿½as Zï¿½ 500ml,0.0
126,Cerveja 2 Cabeï¿½as Cafï¿½ com Bolinho 473ml,0.0
127,Cerveja AVï¿½S Vï¿½ Ana Wheat Lager Lata 473ml,0.0
128,Cerveja 2 Cabeï¿½as Roiz Doce 473ml,0.0
129,Cerveja Black Princess Gold 355ml,0.0
130,Cerveja COLORADO Do Leme ao Pontal Garrafa 600ml,0.0
131,Cerveja 2 Cabeï¿½as Feijoada 473ml,0.0
132,Cerveja PETRA Aurum Garrafa 500ml,0.0
133,Cerveja Leuven Mystic Potion Sour Uva Garrafa 355ml,0.0
134,Cerveja 2 Cabeï¿½as Pudim 473ml,0.0
135,Cerveja Alemï¿½ Escura ERDINGER Weibbier Dunkel Garrafa 500ml,0.0
136,Whisky Old Parr 18 anos 750 ml,0.0
137,Cerveja PATAGONIA AMBER LAGER Garrafa 740ML,0.0
138,Cerveja Michelob Ultra Lager 355ml Long Neck,0.0
139,Cerveja Blue Moon Belgium White Lt 355ml,0.0
140,Cerveja FABRICA 1959 PILSEN Puro Malte Garrafa 500ml,0.0
141,Kit Cerveja Stella 269ml C/8 Latas + 1 Cï¿½lice 250ml,0.0
142,Cerveja FABRICA 1959 IPA Garrafa 500ml,0.0
143,Kit Cerveja Mï¿½nchner Hell + Cerveja Hefe-Weissbier Garrafa 500ml Cada + 1 Copo Paulaner ,0.0
144,Cerveja FABRICA 1959 WEISS Garrafa 500ml,0.0
145,Cerveja Colorado Demoiselle 600ml Garrafa,0.0
146,Cerveja Belga VEDETT Ipa Garrafa 330ml,0.0
147,Kit Cerveja LONDON PRIDE Garrafa 500ml,0.0
148,Cerveja India Pale Ale Madalena Garrafa 600ml,0.0
149,Cerveja Urweisse Erdinger Garrafa 500ml,0.0
150,Cerveja Americana BROOKLYN IPA Garrafa 355ml,0.0
151,Cerveja Lager Puro Malte Brooklyn Garrafa 355ml,0.0
152,Cerveja Anchor Porter 355ml,0.0
153,Cerveja Goose Island IPA 355ml Long Neck,0.0
154,Cerveja Tripel Hop Citra Duvel Garrafa 330ml,0.0
155,Kit COLORADO Appia + 1 Copo,0.0
156,Cerveja INVICTA Hellbeirï¿½o Garrafa 500ml,0.0
157,Cerveja Invicta Frut Maracujipa Garrafa 500ml,0.0
158,Cerveja Weiss Maracujï¿½ TUPINIQUIM Lata 350ml,0.0
159,Cerveja Repï¿½blica Tcheca  CZECHVAR Budvar Garrafa 500ml,0.0
160,Cerveja MORLAND Old Speckled Hen Lata 500ml,0.0
161,Cerveja Ale Chocolate Baden Baden Garrafa 600ml,0.0
162,Cerveja Session Rye IPA Drache Leuven Garrafa 500ml,0.0
163,Cerveja Artesanal Leuven Red Ale Knight 500Ml,0.0
164,Cerveja Tupiniquim Monjolo Garrafa 310ml,0.0
165,Cerveja COLORADO Ribeirï¿½o Lager Lata 350ml,0.0
166,Cerveja Malzbier Itaipava Garrafa 355ml,0.0
