Nome,Precos
['Cerveja Weiss Prius Prime Garrafa 600ml'],"['R$24,99']"
['Cerveja Dinamarquesa FAXE Witbier Lata 1 Litro'],"['R$42,99']"
['Cerveja IPA Three Monkeys Garrafa 500ml'],"['R$23,99']"
['Cerveja Session Rye IPA Drache Leuven Garrafa 500ml'],"['R$21,99']"
['Cerveja DOKTOR BRÄU Irish Red Ale Garrafa 500ml'],"['R$18,99']"
['Cerveja THREE MONKEYS Cool Lager 500ml'],"['R$18,99']"
['Cerveja Bock Tião Black Princess Garrafa 600ml'],"['R$17,99']"
['Cerveja World Lager Estrella Galicia Garrafa 200ml'],"['R$5,19']"
['Cerveja Invicta Frut Maracujipa Garrafa 500ml'],"['R$21,99']"
"[""Cerveja Three Monkeys I'm Sour Pitaya, Framboesa e Limão Lata 473ml""]","['R$24,99']"
['Cerveja SOL Premium Long Neck 330ml'],"['R$4,29']"
['Cerveja AVÓS Vó Maria Hoppy Pils Lata 473ml'],"['R$25,99']"
['Cerveja DOM CASMURRO Ipa Garrafa 600ml'],"['R$23,99']"
['Cerveja DOM HAUS Dom Quixote Weizen 600ml'],"['R$22,99']"
['CERV DRAFT PESSEGO'],"['R$15,99']"
['Cerveja Blondine Felina 350ml '],"['R$11,99']"
['Cerveja AVÓS Vó Antônia India Pale Lager Lata 473ml'],"['R$25,99']"
['Cerveja Weizenbock Pikantus Erdinger Garrafa 500ml'],"['R$29,99']"
['Cerveja CONTI Bier Pilsen Lata 350ml'],"['R$1,95']"
['Cerveja AMSTEL Lager Garrafa 600ml - Caixa com 12 Unidades'],"['R$00,00']"
['Cerveja AMSTEL Lager Lata 473ml - Pack com 12 latas'],"['R$50,28']"
['Cerveja Blondine Hop Damage 350ml '],"['R$14,99']"
['Kit Linguiça cuiabana Seara Gourmet 500g + Mostarda Amarela Heinz Squeeze 255g + 8 Cervejas Stella Artois Puro Malte 350ml Lata'],"['R$00,00']"
['Cerveja BLONDINE Jackpot Lata 350ml'],"['R$10,99']"
['Cerveja IPA Ginjo Puro Malte Prius Prime Garrafa 600ml'],"['R$24,99']"
['Kit 1 Cerveja COLORADO DEMOISEL Garrafa 600ML + 2 Chocolate 60% Cacau Montblanc 80g'],"['R$46,97']"
['Cerveja Summer Ipa TUPINIQUIM Lata 350ml'],"['R$12,84']"
['Cerveja SCHIN Lata 350ml'],"['R$2,29']"
['Cerveja Goose Island Midway Long Neck 355ml'],"['R$8,99']"
['Cerveja Praya Witbier Lata 269ml'],"['R$5,99']"
['Cerveja Skol Pilsen 269ml Lata'],"['R$2,39']"
['Cerveja MARTINA Artesanal Session Ipa Garrafa 300ml'],"['R$9,09']"
['Cerveja Patagonia Bohemian Pilsener 355ml Long Neck'],"['R$5,39']"
['Cerveja Brahma Chopp Pilsen 269ml Lata'],"['R$2,49']"
['Cerveja KAISER Pilsen Latão 473ml'],"['R$2,89']"
['Cerveja COLORADO Ribeirão Lager 600 ML Garrafa'],"['R$10,99']"
['Cerveja Hocus Pocus Interstellar Garrafa 500ml'],"['R$27,99']"
['Cerveja FRANZISKANER Weissbier Dunkel Garrafa 500ml'],"['R$19,99']"
['Kit 6 Cervejas Brahma Duplo Malte 350Ml + Pizza de frango com catupiry Seara 460g'],"['R$36,13']"
['Kit Cerveja BLUE MOON Garrafa 355ml com 24 unidades'],"['R$383,76']"
['Kit 3 Cerveja Stella Artois SEM GLUTEN 330 ML Long Neck + \tKibe Seara incrível 300g'],"['R$34,76']"
['Cerveja Mexicana CORONA Garrafa 330ml - 24 Unidades'],"['R$143,76']"
['Cerveja Lager Premium Puro Malte Heineken Garrafa 330ml'],"['R$5,29']"
['Cerveja PATAGONIA Amber Lager Garrafa Long Neck 355ml'],"['R$5,39']"
['Cerveja Brahma Chopp Pilsen 350ml Lata Pack C/18'],"['R$50,22']"
['Cerveja Budweiser American Lager 330ml Long Neck'],"['R$4,49']"
['Cerveja Amber Lager Puro Malte Cacildis Lata 350ml'],"['R$3,59']"
['Cerveja Skol Pilsen 473ml Lata'],"['R$3,79']"
['Cerveja Dinamarquesa FAXE Royal Export Lata 1 Litro'],"['R$34,99']"
['Cerveja Coronita Pilsen 210ml Long Neck'],"['R$3,99']"
['Cerveja HEINEKEN Zero Álcool Lata 350ml'],"['R$4,67']"
['Cerveja Pilsen Puro Malte Eisenbahn Lata 269ml'],"['R$2,99']"
['Cerveja Amstel Ultra Lata 269ml'],"['R$3,49']"
['Cerveja Colorado Demoiselle 600ml Garrafa'],"['R$12,99']"
['Cerveja BADEN BADEN Christmas Garrafa 600ml'],"['R$15,99']"
['Cerveja BOHEMIA Lata 350ml'],"['R$3,09']"
['Cerveja Malzbier Itaipava Garrafa 355ml'],"['R$3,59']"
['Cerveja Black Princess Gold 355ml'],"['R$3,09']"
['Cerveja Alemã PAULANER Hefe Weissbier sem Álcool Garrafa 500ml'],"['R$23,86']"
['Cerveja ITAIPAVA Lata 269ml'],"['R$1,89']"
['Cerveja Skol Pilsen 350ml Lata'],"['R$2,79']"
['Cerveja PATAGONIA WEISSE Garrafa 740ML'],"['R$12,99']"
['Cerveja HEINEKEN Garrafa 600ml - Caixa com 12 Unidades'],"['R$119,88']"
['Kit com 6 Cervejas BLUE MOON Garrafa 355m Cada'],"['R$95,94']"
['Cerveja Mexicana SOL Garrafa 330ml - Caixa com 24 Unidades'],"['R$102,96']"
['Cerveja Americana Lager DAMA Bier Garrafa 600ml'],"['R$19,99']"
['Cerveja Lager Puro Malte Brooklyn Garrafa 355ml'],"['R$19,99']"
['Cerveja Blondine Tropical Cajá Garrafa 500ml'],"['R$33,99']"
['Cerveja 2 Cabeças Apfelstrudel 473ml'],"['R$30,99']"
['Cerveja Irlandesa GUINNESS Draught Lata 440ml - Pack com 24 unidades'],"['R$575,76']"
['Cerveja Puro Malte TIGER Lata 350ml'],"['R$3,39']"
['Cerveja FABRICA 1959 WEISS Garrafa 500ml'],"['R$11,49']"
['Kit 6 Cervejas Lagunitas Ipa Long Neck 355ml + 1 Mix De Cogumelos Burger Seara Gourmet 320g'],"['R$78,23']"
