Nome,Precos
['Cerveja Belgian Ale Delirium Tremens Garrafa 330ml'],"['R$28,49']"
['Cerveja Dinamarquesa FAXE Witbier Lata 500ml'],"['R$00,00']"
['Cerveja MARTINA Artesanal Session Ipa Garrafa 300ml'],"['R$6,82']"
['Kit Cerveja BLUE MOON Garrafa 355ml com 24 unidades'],"['R$383,76']"
['Cerveja Americana Ipa DAMA Bier Garrafa 600ml'],"['R$14,99']"
"[""Cerveja Fuller's Golden Pride Garrafa 500ml""]","['R$32,24']"
['Cerveja IPA Maniacs Lata 350ml'],"['R$5,99']"
['Cerveja Weiss Maracujá TUPINIQUIM Lata 350ml'],"['R$9,79']"
['Cerveja West Coast Rye IPA Tupi Dama Bier Garrafa 600ml'],"['R$18,74']"
['Cerveja MARTINA Artesanal Lager Garrafa 600ml'],"['R$11,99']"
['Cerveja Tripel Hop Citra Duvel Garrafa 330ml'],"['R$00,00']"
['Cerveja Bier DAMA Weissbier Garrafa 600ml'],"['R$14,99']"
"[""Cerveja Fuller's Ipa Garrafa 500ml""]","['R$32,24']"
['Cerveja Americana Lager DAMA Bier Garrafa 600ml'],"['R$14,99']"
['Cerveja Urbana Gordelícia Belgian Golden Strong Ale Garrafa 500ml'],"['R$14,99']"
['Cerveja MORLAND Old Speckled Hen Lata 500ml'],"['R$18,74']"
['Cerveja Paulaner Weissbier Lata 500ml'],"['R$16,79']"
['Cerveja Bier DAMA QI American Pale Ale Garrafa 500ml'],"['R$14,99']"
