Nome,Precos
['Cerveja HEINEKEN Garrafa 600ml'],"['R$9,99']"
['Cerveja Belga HOEGAARDEN Witbier Garrafa 330ml Importada'],"['R$6,74']"
['Cerveja HEINEKEN Lata 250ml'],"['R$3,39']"
['Cerveja BADEN BADEN Cristal Pilsen Lata 350ml'],"['R$4,27']"
['Cerveja COLORADO Appia Garrafa 600ml'],"['R$8,24']"
['Cerveja Budweiser American Lager 269ml Lata'],"['R$3,19']"
['Cerveja Heineken Keg 5L '],"['R$79,99']"
['Cerveja Brahma Duplo Malte Puro Malte 350ml Lata'],"['R$3,19']"
['Cerveja EISENBAHN Pale Ale Puro Malte Long Neck 355ml'],"['R$4,34']"
['Cerveja BADEN BADEN Witbier Lata 350ml'],"['R$4,27']"
['Cerveja EISENBAHN American Ipa Puro Malte Long Neck 355ml'],"['R$4,34']"
['Cerveja Guinness Draught In Can 440ml'],"['R$17,99']"
['Cerveja HEINEKEN Lata 350ml'],"['R$4,65']"
['Cerveja LAGUNITAS Ipa Long Neck 355ml'],"['R$8,24']"
['Cerveja AMSTEL Puro Malte Lata 350ml'],"['R$3,19']"
['Cerveja Stella Artois Puro Malte 269ml Lata'],"['R$3,14']"
['Cerveja BADEN BADEN American Ipa Lata 350ml'],"['R$4,27']"
['Cerveja Lager Puro Malte Amstel Lata 269ml'],"['R$2,39']"
['Cerveja EISENBAHN American Ipa Puro Malte Lata 350ml'],"['R$3,59']"
['Cerveja Pilsen Antarctica Original Lata 269ml'],"['R$2,69']"
['Cerveja EISENBAHN Pilsen Puro Malte Lata 350ml'],"['R$3,99']"
['Cerveja BADEN BADEN Pilsen Cristal Garrafa 600ml'],"['R$10,49']"
['Cerveja Eisenbahn Weizenbier Long Neck 355ml'],"['R$4,34']"
"['Kit Com 4 Cervejas PATAGONIA Amber Lager Garrafa Long Neck 355ml + 1 Entrecote Filé De Costela Bovino Resfriado Maturatta FRIBOI À Vácuo 1,4Kg']","['R$87,04']"
['Cerveja HEINEKEN Lata 250ml -Caixa com 6 Unidades'],"['R$20,34']"
['Cerveja INVICTA Saison À Trois Garrafa 500ml'],"['R$14,99']"
['Cerveja 2 Cabeças ZEZINHO 500ml'],"['R$23,24']"
['Cerveja Weizen Iniciação Invicta Garrafa 500ml'],"['R$14,99']"
['Cerveja HEINEKEN Garrafa 600ml - Caixa com 12 Unidades'],"['R$119,88']"
['Cerveja Velhas Virgens Indie Man Garrafa 500ml'],"['R$18,74']"
['Cerveja Urbana Gordelícia Belgian Golden Strong Ale Garrafa 500ml'],"['R$14,99']"
['Cerveja DOKTOR BRÄU Irish Red Ale Garrafa 500ml'],"['R$14,24']"
['Kit 6 Cervejas BECKS 350 ML Lata + Pizza Artesanal Margherita SEARA Gourmet 450g'],"['R$56,73']"
['Kit 4 Cervejas Becks 330 Ml Long Neck + 1 Pizza Artesanal Margherita Seara Gourmet 450g'],"['R$51,15']"
['Kit Stella Artois + Doritos Queijo Nacho'],"['R$29,54']"
['Kit 3 Cervejas Lager Premium Stella Artois Lata 350ml + Salame italiano fatiado Seara Gourmet 100g'],"['R$26,56']"
"['Compre 1 costela e +R$1,00 leve 1 pack de Colorado Ribeirão Lager 350ml']","['R$101,93']"
['Cerveja Stella Artois Puro Malte 269ml Lata Pack C/8'],"['R$27,92']"
['Cerveja 2 Cabeças Seu ZÉ 500ml\t'],"['R$23,24']"
['Cerveja Bier DAMA Weissbier Garrafa 600ml'],"['R$14,99']"
['Cerveja 2 Cabeças ZÉ 500ml'],"['R$23,24']"
['Cerveja Invicta Damiana Garrafa 500ml'],"['R$14,99']"
['Cerveja Fábrica 1959 Witbier Lata 350ml'],"['R$5,47']"
['Cerveja Draft Chopp de Vinho Ice 300ml'],"['R$9,29']"
['Cerveja Doktor Brau New Session 500ml'],"['R$18,74']"
['Cerveja 2 Cabeças Café com Bolinho 473ml'],"['R$19,87']"
['Cerveja SAISON St. Feuillien Garrafa 330ml'],"['R$29,24']"
['Cerveja AVÓS Vó Ana Wheat Lager Lata 473ml'],"['R$19,49']"
['Cerveja Pilsen Samba Lata 269ml'],"['R$2,19']"
['Cerveja 1500 Puro Malte Garrafa 600ml'],"['R$6,89']"
['Cerveja APA Dom Lennon Dom Haus Lata 350ml Mosaic Edition'],"['R$13,49']"
['Cerveja Alemã PAULANER Dunkel Lata 500ml'],"['R$18,74']"
['Cerveja Bier DAMA QI American Pale Ale Garrafa 500ml'],"['R$14,99']"
['Cerveja AVÓS Vó Maria Hoppy Pils Lata 473ml'],"['R$19,49']"
['Cerveja CONTI Bier Pilsen Lata 350ml'],"['R$1,95']"
['Cerveja Weizenbock Pikantus Erdinger Garrafa 500ml'],"['R$22,49']"
['Cerveja LEUVEN Weissbier ARCHER Garrafa 500ml'],"['R$16,49']"
['Cerveja Artesanal Leuven Red Ale Knight 500Ml'],"['R$16,49']"
['Cerveja Session Rye IPA Drache Leuven Garrafa 500ml'],"['R$16,49']"
['Cerveja LEUVEN Witbier WITCH Garrafa 500ml'],"['R$11,24']"
['Cerveja BRAHMA Chopp Lata 350ml'],"['R$2,99']"
['Cerveja Fruit Monjolo Floresta Negra Tupiniquim Garrafa 310ml'],"['R$29,24']"
['Cerveja LEUVEN Dubbel com Cacau MONK Garrafa 500ml'],"['R$19,49']"
['Cerveja COLORADO Ribeirão Lager 600 ML Garrafa'],"['R$10,99']"
['Cerveja SCHIN Lata 350ml'],"['R$2,29']"
['Cerveja Dinamarquesa FAXE Premium Lata 1 Litro'],"['R$26,24']"
['Kit 4 Cervejas EISENBAHN American IPA Garrafa 355ml + Salame Italiano Fatiado SADIA 100g'],"['R$41,45']"
"['Kit 12 Cervejas PATAGONIA AMBER LAGER Garrafa 740ML + \tContra Filé Maturatta FRIBOI Resfriado Pedaço 1,4kg']","['R$272,51']"
['Kit Cerveja PATAGONIA Amber Lager Garrafa 740ml 6 Unidades'],"['R$77,94']"
['Cerveja Devassa Puro Malte Lata 269ml'],"['R$2,29']"
['Cerveja TUPINIQUIM Polimango Ipa Lata 350ml'],"['R$11,24']"
['Cerveja Therezópolis Or Blanc Witbier Garrafa 500ml '],"['R$8,99']"
['Kit 4 Cerveja Stella Artois SEM GLUTEN 330 ML Long Neck + Mix De Cogumelos Burger SEARA Gourmet Caixa 320g'],"['R$46,25']"
